Time_stamp,green_car_x,green_car_y,green_car_reward,red_car_x,red_car_y,red_car_reward,green_car_decision,red_car_decision,Simulation
1,1.0,5.0,0.0,5.0,1.0,0.0,Go,Go,1
2,2.0,5.0,-2.0,5.0,2.0,-2.0,Go,Go,1
3,3.0,5.0,-4.0,5.0,3.0,-4.0,Go,Stop,1
4,4.0,5.0,-6.0,5.0,3.0,-6.0,Stop,Stop,1
5,4.0,5.0,-8.0,5.0,3.0,-8.0,Go,Stop,1
6,5.0,5.0,-10.0,5.0,3.0,-10.0,Go,Stop,1
7,6.0,5.0,-12.0,5.0,3.0,-12.0,Stop,Stop,1
8,6.0,5.0,-14.0,5.0,3.0,-14.0,Stop,Stop,1
9,6.0,5.0,-16.0,5.0,3.0,-16.0,Stop,Stop,1
10,6.0,5.0,-18.0,5.0,3.0,-18.0,Stop,Stop,1
11,6.0,5.0,-20.0,5.0,3.0,-20.0,Stop,Stop,1
12,6.0,5.0,-22.0,5.0,3.0,-22.0,Go,Stop,1
13,7.0,5.0,-24.0,5.0,3.0,-24.0,Go,Go,1
14,8.0,5.0,-26.0,5.0,4.0,-26.0,Go,Go,1
15,9.0,5.0,-28.0,5.0,5.0,-28.0,,Go,1
16,,,,5.0,6.0,-30.0,,Go,1
17,,,,5.0,7.0,-32.0,,Go,1
18,,,,5.0,8.0,-34.0,,Go,1
19,,,,5.0,9.0,-36.0,,,1
1,1.0,5.0,0.0,5.0,1.0,0.0,Go,Go,2
2,2.0,5.0,-2.0,5.0,2.0,-2.0,Go,Go,2
3,3.0,5.0,-4.0,5.0,3.0,-4.0,Go,Stop,2
4,4.0,5.0,-6.0,5.0,3.0,-6.0,Stop,Stop,2
5,4.0,5.0,-8.0,5.0,3.0,-8.0,Go,Stop,2
6,5.0,5.0,-10.0,5.0,3.0,-10.0,Go,Stop,2
7,6.0,5.0,-12.0,5.0,3.0,-12.0,Stop,Stop,2
8,6.0,5.0,-14.0,5.0,3.0,-14.0,Stop,Stop,2
9,6.0,5.0,-16.0,5.0,3.0,-16.0,Stop,Stop,2
10,6.0,5.0,-18.0,5.0,3.0,-18.0,Stop,Stop,2
11,6.0,5.0,-20.0,5.0,3.0,-20.0,Stop,Stop,2
12,6.0,5.0,-22.0,5.0,3.0,-22.0,Go,Stop,2
13,7.0,5.0,-24.0,5.0,3.0,-24.0,Go,Go,2
14,8.0,5.0,-26.0,5.0,4.0,-26.0,Go,Go,2
15,9.0,5.0,-28.0,5.0,5.0,-28.0,,Go,2
16,,,,5.0,6.0,-30.0,,Go,2
17,,,,5.0,7.0,-32.0,,Go,2
18,,,,5.0,8.0,-34.0,,Go,2
19,,,,5.0,9.0,-36.0,,,2
1,,,,,,,,,2
