===, Sim 1, ===
Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, 
2, green, 1, 2, 0, Go, red, 2, 2, -2, Go, white, 1, 3, 0, Go, 
3, green, 1, 3, 0, Lane, red, 2, 3, -4, Go, white, 1, 4, 0, Go, 
4, green, 2, 3, -3, Go, red, 2, 4, -4, Go, white, 1, 5, -2, Go, 
5, green, 2, 4, -3, Go, red, 2, 5, -4, Go, white, 1, 6, -4, Go, 
6, green, 2, 5, -3, Go, red, 2, 6, -4, Go, white, 1, 7, -6, Go, 
7, green, 2, 6, -3, Go, red, 2, 7, -4, Go, white, 1, 8, -8, Go, 
8, green, 2, 7, -3, Go, red, 2, 8, -4, Go, white, 1, 9, -10, , 
9, green, 2, 8, -3, Go, red, 2, 9, -4, , ,,,,, 
10, green, 2, 9, -5, , ,,,,, ,,,,, 

